idnum|car|mpg|cylinders|displacement|horsepower|weight|acceleration|origin|dt
173|Ford Galaxie 500|14.00|8|351.00|153.00|4129.00|13.00|US|1972-10-12
174|AMC Ambassador SST|17.00|8|304.00|150.00|3672.00|11.50|US|1972-04-06
175|Mercury Marquis|11.00|8|429.00|208.00|4633.00|11.00|US|1972-10-10
176|Buick LeSabre Custom|13.00|8|350.00|155.00|4502.00|13.50|US|1972-08-28
177|Oldsmobile Delta 88 Royale|12.00|8|350.00|160.00|4456.00|13.50|US|1972-04-15
178|Chrysler Newport Royal|13.00|8|400.00|190.00|4422.00|12.50|US|1972-10-07
179|Mazda RX2 Coupe|19.00|3|70.00|97.00|2330.00|13.50|Japan|1972-04-01
180|AMC Matador (sw)|15.00|8|304.00|150.00|3892.00|12.50|US|1972-06-22
181|Chevrolet Chevelle Concours (sw)|13.00|8|307.00|130.00|4098.00|14.00|US|1972-08-27
182|Ford Gran Torino (sw)|13.00|8|302.00|140.00|4294.00|16.00|US|1972-07-11
183|Plymouth Satellite Custom (sw)|14.00|8|318.00|150.00|4077.00|14.00|US|1972-06-28
184|Volvo 145e (sw)|18.00|4|121.00|112.00|2933.00|14.50|Europe|1972-05-24
185|Volkswagen 411 (sw)|22.00|4|121.00|76.00|2511.00|18.00|Europe|1972-05-08
186|Peugeot 504 (sw)|21.00|4|120.00|87.00|2979.00|19.50|Europe|1972-03-10
187|Renault 12 (sw)|26.00|4|96.00|69.00|2189.00|18.00|Europe|1972-09-07
188|Ford Pinto (sw)|22.00|4|122.00|86.00|2395.00|16.00|US|1972-02-11
189|Datsun 510 (sw)|28.00|4|97.00|92.00|2288.00|17.00|Japan|1972-04-09
190|Toyota Corolla Mark II (sw)|23.00|4|120.00|97.00|2506.00|14.50|Japan|1972-04-17
191|Dodge Colt (sw)|28.00|4|98.00|80.00|2164.00|15.00|US|1972-10-27
192|Toyota Corolla 1600 (sw)|27.00|4|97.00|88.00|2100.00|16.50|Japan|1972-03-26
193|Buick Century 350|13.00|8|350.00|175.00|4100.00|13.00|US|1973-04-28
194|AMC Matador|14.00|8|304.00|150.00|3672.00|11.50|US|1973-01-29
195|Chevrolet Malibu|13.00|8|350.00|145.00|3988.00|13.00|US|1973-08-11
196|Ford Gran Torino|14.00|8|302.00|137.00|4042.00|14.50|US|1973-02-07
197|Dodge Coronet Custom|15.00|8|318.00|150.00|3777.00|12.50|US|1973-10-16
198|Mercury Marquis Brougham|12.00|8|429.00|198.00|4952.00|11.50|US|1973-08-05
199|Chevrolet Caprice Classic|13.00|8|400.00|150.00|4464.00|12.00|US|1973-10-28
200|Ford LTD|13.00|8|351.00|158.00|4363.00|13.00|US|1973-06-17
201|Plymouth Fury Gran Sedan|14.00|8|318.00|150.00|4237.00|14.50|US|1973-10-15
202|Chrysler New Yorker Brougham|13.00|8|440.00|215.00|4735.00|11.00|US|1973-09-20
203|Buick Electra 225 Custom|12.00|8|455.00|225.00|4951.00|11.00|US|1973-08-21
204|AMC Ambassador Brougham|13.00|8|360.00|175.00|3821.00|11.00|US|1973-04-02
205|Plymouth Valiant|18.00|6|225.00|105.00|3121.00|16.50|US|1973-08-30
206|Chevrolet Nova Custom|16.00|6|250.00|100.00|3278.00|18.00|US|1973-08-23
207|AMC Hornet|18.00|6|232.00|100.00|2945.00|16.00|US|1973-02-10
208|Ford Maverick|18.00|6|250.00|88.00|3021.00|16.50|US|1973-05-19
209|Plymouth Duster|23.00|6|198.00|95.00|2904.00|16.00|US|1973-08-11
210|Volkswagen Super Beetle|26.00|4|97.00|46.00|1950.00|21.00|Europe|1973-09-19
211|Chevrolet Impala|11.00|8|400.00|150.00|4997.00|14.00|US|1973-06-11
212|Ford Country|12.00|8|400.00|167.00|4906.00|12.50|US|1973-04-02
213|Plymouth Custom Suburb|13.00|8|360.00|170.00|4654.00|13.00|US|1973-09-28
214|Oldsmobile Vista Cruiser|12.00|8|350.00|180.00|4499.00|12.50|US|1973-09-14
215|AMC Gremlin|18.00|6|232.00|100.00|2789.00|15.00|US|1973-07-03
216|Toyota Camry|20.00|4|97.00|88.00|2279.00|19.00|Japan|1973-10-14
217|Chevrolet Vega|21.00|4|140.00|72.00|2401.00|19.50|US|1973-10-10
218|Datsun 610|22.00|4|108.00|94.00|2379.00|16.50|Japan|1973-02-28
219|Mazda RX3|18.00|3|70.00|90.00|2124.00|13.50|Japan|1973-06-16
220|Ford Pinto|19.00|4|122.00|85.00|2310.00|18.50|US|1973-09-04
221|Mercury Capri v6|21.00|6|155.00|107.00|2472.00|14.00|US|1973-10-11
222|Fiat 124 Sport Coupe|26.00|4|98.00|90.00|2265.00|15.50|Europe|1973-07-16
223|Chevrolet Monte Carlo S|15.00|8|350.00|145.00|4082.00|13.00|US|1973-10-13
224|Pontiac Grand Prix|16.00|8|400.00|230.00|4278.00|9.50|US|1973-08-09
225|Fiat 128|29.00|4|68.00|49.00|1867.00|19.50|Europe|1973-06-18
226|Opel Manta|24.00|4|116.00|75.00|2158.00|15.50|Europe|1973-11-03
227|Audi 100LS|20.00|4|114.00|91.00|2582.00|14.00|Europe|1973-07-21
228|Volvo 144ea|19.00|4|121.00|112.00|2868.00|15.50|Europe|1973-08-22
229|Dodge Dart Custom|15.00|8|318.00|150.00|3399.00|11.00|US|1973-03-22
230|Saab 99le|24.00|4|121.00|110.00|2660.00|14.00|Europe|1973-05-11
231|Toyota Mark II|20.00|6|156.00|122.00|2807.00|13.50|Japan|1973-06-02
232|Oldsmobile Omega|11.00|8|350.00|180.00|3664.00|11.00|US|1973-05-24
233|Plymouth Duster|20.00|6|198.00|95.00|3102.00|16.50|US|1974-03-09
234|Ford Maverick|21.00|6|200.00|0.00|2875.00|17.00|US|1974-02-03
235|AMC Hornet|19.00|6|232.00|100.00|2901.00|16.00|US|1974-08-30
236|Chevrolet Nova|15.00|6|250.00|100.00|3336.00|17.00|US|1974-07-23
237|Datsun B210|31.00|4|79.00|67.00|1950.00|19.00|Japan|1974-08-02
238|Ford Pinto|26.00|4|122.00|80.00|2451.00|16.50|US|1974-02-16
239|Toyota Corolla 1200|32.00|4|71.00|65.00|1836.00|21.00|Japan|1974-10-01
240|Chevrolet Vega|25.00|4|140.00|75.00|2542.00|17.00|US|1974-03-26
241|Chevrolet Chevelle Malibu Classic|16.00|6|250.00|100.00|3781.00|17.00|US|1974-10-16
242|AMC Matador|16.00|6|258.00|110.00|3632.00|18.00|US|1974-10-31
243|Plymouth Satellite Sebring|18.00|6|225.00|105.00|3613.00|16.50|US|1974-03-17
244|Ford Gran Torino|16.00|8|302.00|140.00|4141.00|14.00|US|1974-06-24
245|Buick Century Luxus (sw)|13.00|8|350.00|150.00|4699.00|14.50|US|1974-09-02
246|Dodge Coronet Custom (sw)|14.00|8|318.00|150.00|4457.00|13.50|US|1974-09-19
247|Ford Gran Torino (sw)|14.00|8|302.00|140.00|4638.00|16.00|US|1974-03-26
248|AMC Matador (sw)|14.00|8|304.00|150.00|4257.00|15.50|US|1974-02-05
249|Audi Fox|29.00|4|98.00|83.00|2219.00|16.50|Europe|1974-04-12
250|Volkswagen Dasher|26.00|4|79.00|67.00|1963.00|15.50|Europe|1974-10-02
251|Opel Manta|26.00|4|97.00|78.00|2300.00|14.50|Europe|1974-07-29
252|Toyota Corolla|31.00|4|76.00|52.00|1649.00|16.50|Japan|1974-03-05
253|Datsun 710|32.00|4|83.00|61.00|2003.00|19.00|Japan|1974-03-17
254|Dodge Colt|28.00|4|90.00|75.00|2125.00|14.50|US|1974-10-13
255|Fiat 128|24.00|4|90.00|75.00|2108.00|15.50|Europe|1974-09-23
256|Fiat 124 TC|26.00|4|116.00|75.00|2246.00|14.00|Europe|1974-01-23
257|Honda Civic|24.00|4|120.00|97.00|2489.00|15.00|Japan|1974-04-13
258|Subaru|26.00|4|108.00|93.00|2391.00|15.50|Japan|1974-05-11
259|Fiat x1.9|31.00|4|79.00|67.00|2000.00|16.00|Europe|1974-03-17
260|Plymouth Valiant Custom|19.00|6|225.00|95.00|3264.00|16.00|US|1975-01-12
261|Chevrolet Nova|18.00|6|250.00|105.00|3459.00|16.00|US|1975-06-12
262|Mercury Monarch|15.00|6|250.00|72.00|3432.00|21.00|US|1975-01-12
263|Ford Maverick|15.00|6|250.00|72.00|3158.00|19.50|US|1975-09-30
264|Pontiac Catalina|16.00|8|400.00|170.00|4668.00|11.50|US|1975-06-01
265|Chevrolet Bel Air|15.00|8|350.00|145.00|4440.00|14.00|US|1975-05-17
266|Plymouth Grand Fury|16.00|8|318.00|150.00|4498.00|14.50|US|1975-05-07
267|Ford LTD|14.00|8|351.00|148.00|4657.00|13.50|US|1975-06-05
268|Buick Century|17.00|6|231.00|110.00|3907.00|21.00|US|1975-03-12
269|Chevrolete Chevelle Malibu|16.00|6|250.00|105.00|3897.00|18.50|US|1975-08-03
270|AMC Matador|15.00|6|258.00|110.00|3730.00|19.00|US|1975-08-13
271|Plymouth Fury|18.00|6|225.00|95.00|3785.00|19.00|US|1975-10-01
272|Buick Skyhawk|21.00|6|231.00|110.00|3039.00|15.00|US|1975-05-25
273|Chevrolet Monza 2+2|20.00|8|262.00|110.00|3221.00|13.50|US|1975-04-20
274|Ford Mustang II|13.00|8|302.00|129.00|3169.00|12.00|US|1975-10-30
275|Toyota Corolla|29.00|4|97.00|75.00|2171.00|16.00|Japan|1975-05-29
276|Ford Pinto|23.00|4|140.00|83.00|2639.00|17.00|US|1975-06-11
277|AMC Gremlin|20.00|6|232.00|100.00|2914.00|16.00|US|1975-09-05
278|Pontiac Astro|23.00|4|140.00|78.00|2592.00|18.50|US|1975-09-25
279|Toyota Corolla|24.00|4|134.00|96.00|2702.00|13.50|Japan|1975-05-28
280|Volkswagen Dasher|25.00|4|90.00|71.00|2223.00|16.50|Europe|1975-03-25
281|Datsun 710|24.00|4|119.00|97.00|2545.00|17.00|Japan|1975-09-03
282|Ford Pinto|18.00|6|171.00|97.00|2984.00|14.50|US|1975-03-23
283|Volkswagen Rabbit|29.00|4|90.00|70.00|1937.00|14.00|Europe|1975-10-14
284|AMC Pacer|19.00|6|232.00|90.00|3211.00|17.00|US|1975-01-30
285|Audi 100LS|23.00|4|115.00|95.00|2694.00|15.00|Europe|1975-04-18
286|Peugeot 504|23.00|4|120.00|88.00|2957.00|17.00|Europe|1975-05-21
287|Volvo 244DL|22.00|4|121.00|98.00|2945.00|14.50|Europe|1975-10-29
288|Saab 99LE|25.00|4|121.00|115.00|2671.00|13.50|Europe|1975-10-16
289|Honda Civic CVCC|33.00|4|91.00|53.00|1795.00|17.50|Japan|1975-09-20
290|Fiat 131|28.00|4|107.00|86.00|2464.00|15.50|Europe|1976-10-19
291|Opel 1900|25.00|4|116.00|81.00|2220.00|16.90|Europe|1976-09-09
292|Capri ii|25.00|4|140.00|92.00|2572.00|14.90|US|1976-01-21
293|Dodge Colt|26.00|4|98.00|79.00|2255.00|17.70|US|1976-10-30
294|Renault 12tl|27.00|4|101.00|83.00|2202.00|15.30|Europe|1976-02-03
295|Chevrolet Chevelle Malibu Classic|17.50|8|305.00|140.00|4215.00|13.00|US|1976-04-16
296|Dodge Coronet Brougham|16.00|8|318.00|150.00|4190.00|13.00|US|1976-06-04
297|AMC Matador|15.50|8|304.00|120.00|3962.00|13.90|US|1976-07-05
298|Ford Gran Torino|14.50|8|351.00|152.00|4215.00|12.80|US|1976-03-26
299|Plymouth Valiant|22.00|6|225.00|100.00|3233.00|15.40|US|1976-08-12
300|Chevrolet Nova|22.00|6|250.00|105.00|3353.00|14.50|US|1976-08-16
301|Ford Maverick|24.00|6|200.00|81.00|3012.00|17.60|US|1976-04-28
302|AMC Hornet|22.50|6|232.00|90.00|3085.00|17.60|US|1976-08-11
303|Chevrolet Chevette|29.00|4|85.00|52.00|2035.00|22.20|US|1976-01-23
304|Chevrolet Woody|24.50|4|98.00|60.00|2164.00|22.10|US|1976-05-15
305|Volkswagen Rabbit|29.00|4|90.00|70.00|1937.00|14.20|Europe|1976-02-02
306|Honda Civic|33.00|4|91.00|53.00|1795.00|17.40|Japan|1976-09-25
307|Dodge Aspen SE|20.00|6|225.00|100.00|3651.00|17.70|US|1976-09-08
308|Ford Grenada ghia|18.00|6|250.00|78.00|3574.00|21.00|US|1976-06-23
309|Pontiac Ventura SJ|18.50|6|250.00|110.00|3645.00|16.20|US|1976-02-17
310|AMC Pacer d/l|17.50|6|258.00|95.00|3193.00|17.80|US|1976-10-24
311|Volkswagen Rabbit|29.50|4|97.00|71.00|1825.00|12.20|Europe|1976-09-23
312|Datsun B-210|32.00|4|85.00|70.00|1990.00|17.00|Japan|1976-02-20
313|Toyota Corolla|28.00|4|97.00|75.00|2155.00|16.40|Japan|1976-02-28
314|Ford Pinto|26.50|4|140.00|72.00|2565.00|13.60|US|1976-05-03
315|Volvo 245|20.00|4|130.00|102.00|3150.00|15.70|Europe|1976-09-03
316|Plymouth Volare Premier v8|13.00|8|318.00|150.00|3940.00|13.20|US|1976-09-23
317|Peugeot 504|19.00|4|120.00|88.00|3270.00|21.90|Europe|1976-05-15
318|Toyota Mark II|19.00|6|156.00|108.00|2930.00|15.50|Japan|1976-09-10
319|Mercedes-Benz 280s|16.50|6|168.00|120.00|3820.00|16.70|Europe|1976-05-10
320|Cadillac Seville|16.50|8|350.00|180.00|4380.00|12.10|US|1976-09-14
321|Chevrolet C10|13.00|8|350.00|145.00|4055.00|12.00|US|1976-11-03
322|Ford F108|13.00|8|302.00|130.00|3870.00|15.00|US|1976-08-11
323|Dodge D100|13.00|8|318.00|150.00|3755.00|14.00|US|1976-07-29
324|Honda Accord CVCC|31.50|4|98.00|68.00|2045.00|18.50|Japan|1977-08-20
325|Buick Opel Isuzu Deluxe|30.00|4|111.00|80.00|2155.00|14.80|US|1977-10-18
326|Renault 5 GTL|36.00|4|79.00|58.00|1825.00|18.60|Europe|1977-02-12
327|Plymouth Arrow GS|25.50|4|122.00|96.00|2300.00|15.50|US|1977-08-10
328|Datsun F-10 Hatchback|33.50|4|85.00|70.00|1945.00|16.80|Japan|1977-09-18
329|Chevrolet Caprice Classic|17.50|8|305.00|145.00|3880.00|12.50|US|1977-05-04
330|Oldsmobile Cutlass Supreme|17.00|8|260.00|110.00|4060.00|19.00|US|1977-01-31
331|Dodge Monaco Brougham|15.50|8|318.00|145.00|4140.00|13.70|US|1977-07-21
332|Mercury Cougar Brougham|15.00|8|302.00|130.00|4295.00|14.90|US|1977-08-13
333|Chevrolet Concours|17.50|6|250.00|110.00|3520.00|16.40|US|1977-10-08
334|Buick Skylark|20.50|6|231.00|105.00|3425.00|16.90|US|1977-03-19
335|Plymouth Volare Custom|19.00|6|225.00|100.00|3630.00|17.70|US|1977-09-09
336|Ford Grenada|18.50|6|250.00|98.00|3525.00|19.00|US|1977-02-21
337|Pontiac Grand Prix LJ|16.00|8|400.00|180.00|4220.00|11.10|US|1977-03-31
338|Chevrolet Monte Carlo Landau|15.50|8|350.00|170.00|4165.00|11.40|US|1977-06-25
339|Chrysler Cordoba|15.50|8|400.00|190.00|4325.00|12.20|US|1977-04-02
340|Ford Thunderbird|16.00|8|351.00|149.00|4335.00|14.50|US|1977-04-08
341|Volkswagen Rabbit Custom|29.00|4|97.00|78.00|1940.00|14.50|Europe|1977-09-01
342|Pontiac Sunbird Coupe|24.50|4|151.00|88.00|2740.00|16.00|US|1977-08-13
343|Toyota Corolla Liftback|26.00|4|97.00|75.00|2265.00|18.20|Japan|1977-06-10
344|Ford Mustang II 2+2|25.50|4|140.00|89.00|2755.00|15.80|US|1977-11-06
345|Chevrolet Chevette|30.50|4|98.00|63.00|2051.00|17.00|US|1977-08-09
346|Dodge Colt m/m|33.50|4|98.00|83.00|2075.00|15.90|US|1977-03-31
347|Subaru DL|30.00|4|97.00|67.00|1985.00|16.40|Japan|1977-02-18
348|Volkswagen Dasher|30.50|4|97.00|78.00|2190.00|14.10|Europe|1977-10-23
349|Datsun 810|22.00|6|146.00|97.00|2815.00|14.50|Japan|1977-06-24
350|BMW 320i|21.50|4|121.00|110.00|2600.00|12.80|Europe|1977-04-13
351|Mazda RX-4|21.50|3|80.00|110.00|2720.00|13.50|Japan|1977-02-07
352|Volkswagen Rabbit Custom Diesel|43.10|4|90.00|48.00|1985.00|21.50|Europe|1978-05-02
353|Ford Fiesta|36.10|4|98.00|66.00|1800.00|14.40|US|1978-05-31
354|Mazda GLC Deluxe|32.80|4|78.00|52.00|1985.00|19.40|Japan|1978-06-29
355|Datsun B210 GX|39.40|4|85.00|70.00|2070.00|18.60|Japan|1978-04-18
356|Honda Civic CVCC|36.10|4|91.00|60.00|1800.00|16.40|Japan|1978-06-28
357|Oldsmobile Cutlass Salon Brougham|19.90|8|260.00|110.00|3365.00|15.50|US|1978-04-03
358|Dodge Diplomat|19.40|8|318.00|140.00|3735.00|13.20|US|1978-09-23
359|Mercury Monarch ghia|20.20|8|302.00|139.00|3570.00|12.80|US|1978-04-14
360|Pontiac Phoenix LJ|19.20|6|231.00|105.00|3535.00|19.20|US|1978-04-17
361|Chevrolet Malibu|20.50|6|200.00|95.00|3155.00|18.20|US|1978-01-26
362|Ford Fairmont (auto)|20.20|6|200.00|85.00|2965.00|15.80|US|1978-01-28
363|Ford Fairmont (man)|25.10|4|140.00|88.00|2720.00|15.40|US|1978-07-02
364|Plymouth Volare|20.50|6|225.00|100.00|3430.00|17.20|US|1978-07-22
365|AMC Concord|19.40|6|232.00|90.00|3210.00|17.20|US|1978-10-05
366|Buick Century Special|20.60|6|231.00|105.00|3380.00|15.80|US|1978-03-30
367|Mercury Zephyr|20.80|6|200.00|85.00|3070.00|16.70|US|1978-05-18
368|Dodge Aspen|18.60|6|225.00|110.00|3620.00|18.70|US|1978-07-27
369|AMC Concord d/l|18.10|6|258.00|120.00|3410.00|15.10|US|1978-08-02
370|Chevrolet Monte Carlo Landau|19.20|8|305.00|145.00|3425.00|13.20|US|1978-09-02
371|Buick Regal Sport Coupe (turbo)|17.70|6|231.00|165.00|3445.00|13.40|US|1978-02-17
372|Ford Futura|18.10|8|302.00|139.00|3205.00|11.20|US|1978-06-10
373|Dodge Magnum XE|17.50|8|318.00|140.00|4080.00|13.70|US|1978-03-10
374|Chevrolet Chevette|30.00|4|98.00|68.00|2155.00|16.50|US|1978-09-23
375|Toyota Corolla|27.50|4|134.00|95.00|2560.00|14.20|Japan|1978-09-22
376|Datsun 510|27.20|4|119.00|97.00|2300.00|14.70|Japan|1978-09-08
377|Dodge Omni|30.90|4|105.00|75.00|2230.00|14.50|US|1978-10-15
378|Toyota Celica GT Liftback|21.10|4|134.00|95.00|2515.00|14.80|Japan|1978-02-06
379|Plymouth Sapporo|23.20|4|156.00|105.00|2745.00|16.70|US|1978-06-19
380|Oldsmobile Starfire SX|23.80|4|151.00|85.00|2855.00|17.60|US|1978-04-11
381|Datsun 200-SX|23.90|4|119.00|97.00|2405.00|14.90|Japan|1978-01-12
382|Audi 5000|20.30|5|131.00|103.00|2830.00|15.90|Europe|1978-02-18
383|Volvo 264gl|17.00|6|163.00|125.00|3140.00|13.60|Europe|1978-01-21
384|Saab 99gle|21.60|4|121.00|115.00|2795.00|15.70|Europe|1978-06-04
385|Peugeot 604sl|16.20|6|163.00|133.00|3410.00|15.80|Europe|1978-09-17
386|Volkswagen Scirocco|31.50|4|89.00|71.00|1990.00|14.90|Europe|1978-04-07
387|Honda Accord LX|29.50|4|98.00|68.00|2135.00|16.60|Japan|1978-08-06
388|Pontiac Lemans V6|21.50|6|231.00|115.00|3245.00|15.40|US|1979-10-30
389|Mercury Zephyr 6|19.80|6|200.00|85.00|2990.00|18.20|US|1979-05-06
390|Ford Fairmont 4|22.30|4|140.00|88.00|2890.00|17.30|US|1979-05-20
391|AMC Concord DL 6|20.20|6|232.00|90.00|3265.00|18.20|US|1979-07-30
392|Dodge Aspen 6|20.60|6|225.00|110.00|3360.00|16.60|US|1979-06-14
393|Chevrolet Caprice Classic|17.00|8|305.00|130.00|3840.00|15.40|US|1979-03-28
394|Ford LTD Landau|17.60|8|302.00|129.00|3725.00|13.40|US|1979-04-24
395|Mercury Grand Marquis|16.50|8|351.00|138.00|3955.00|13.20|US|1979-07-02
396|Dodge St. Regis|18.20|8|318.00|135.00|3830.00|15.20|US|1979-07-11
397|Buick Estate Wagon (sw)|16.90|8|350.00|155.00|4360.00|14.90|US|1979-07-16
398|Ford Country Squire (sw)|15.50|8|351.00|142.00|4054.00|14.30|US|1979-04-21
399|Chevrolet Malibu Classic (sw)|19.20|8|267.00|125.00|3605.00|15.00|US|1979-03-22
400|Chrysler Lebaron Town @ Country (sw)|18.50|8|360.00|150.00|3940.00|13.00|US|1979-05-23
401|Volkswagen Rabbit Custom|31.90|4|89.00|71.00|1925.00|14.00|Europe|1979-04-26
402|Mazda GLC Deluxe|34.10|4|86.00|65.00|1975.00|15.20|Japan|1979-09-14
403|Dodge Colt Hatchback Custom|35.70|4|98.00|80.00|1915.00|14.40|US|1979-08-06
404|AMC Spirit DL|27.40|4|121.00|80.00|2670.00|15.00|US|1979-02-08
405|Mercedes Benz 300d|25.40|5|183.00|77.00|3530.00|20.10|Europe|1979-01-20
